iter	TotalF1	MultiClass
844	1	0.04557614405
845	1	0.0455118827
846	1	0.04546669977
847	1	0.04540109551
848	1	0.04534012506
849	1	0.04526670446
850	1	0.0451758501
851	1	0.0450780267
852	1	0.04501152373
853	1	0.04493730349
854	1	0.04486405708
855	1	0.04479950798
856	1	0.04471863119
857	1	0.04464642473
858	1	0.0445851056
859	1	0.04451428305
860	1	0.04443209458
861	1	0.04436838254
862	1	0.04429910234
863	1	0.04423820577
864	1	0.04416621677
865	1	0.04412180618
866	1	0.04402729121
867	1	0.04394276664
868	1	0.0439042227
869	1	0.04386147006
870	1	0.04380762045
871	1	0.04373894064
872	1	0.04367174924
873	1	0.04362171732
874	1	0.04355762752
875	1	0.0435405517
876	1	0.04345465699
877	1	0.04339080743
878	1	0.04333991812
879	1	0.04325083562
880	1	0.04319522705
881	1	0.04313417106
882	1	0.04304923865
883	1	0.04297531032
884	1	0.04289904291
885	1	0.04281177672
886	1	0.04277395403
887	1	0.04271827544
888	1	0.04266904741
889	1	0.04261994695
890	1	0.04253683923
891	1	0.04248686856
892	1	0.04242014146
893	1	0.0423415044
894	1	0.04226501717
895	1	0.04218960114
896	1	0.04213966769
897	1	0.04206648075
898	1	0.04199922319
899	1	0.04192185647
900	1	0.0418695576
901	1	0.04181773611
902	1	0.04174195121
903	1	0.04164584059
904	1	0.0415375718
905	1	0.04147277853
906	1	0.04140649448
907	1	0.04135560938
908	1	0.04128346706
909	1	0.04122139166
910	1	0.04116211302
911	1	0.04111030115
912	1	0.04102088222
913	1	0.04092706654
914	1	0.0408780102
915	1	0.04081544699
916	1	0.04075148945
917	1	0.04071269143
918	1	0.04068807807
919	1	0.0406459618
920	1	0.04056459942
921	1	0.04050588863
922	1	0.04046548255
923	1	0.04039412467
924	1	0.04031598055
925	1	0.04025532109
926	1	0.04021900223
927	1	0.04013822838
928	1	0.04005673573
929	1	0.04002172059
930	1	0.03994695903
931	1	0.03986654059
932	1	0.03982297823
933	1	0.0397833702
934	1	0.03973837414
935	1	0.03969923774
936	1	0.03966922273
937	1	0.03963528407
938	1	0.0395836647
939	1	0.03952582874
940	1	0.03948361349
941	1	0.03939558084
942	1	0.03933397885
943	1	0.03927021011
944	1	0.03919607442
945	1	0.03914544428
946	1	0.03909303075
947	1	0.0390576617
948	1	0.03900569947
949	1	0.03897166185
950	1	0.03893874143
951	1	0.03888820745
952	1	0.038834316
953	1	0.03879027475
954	1	0.03873622468
955	1	0.03870522072
956	1	0.03865147044
957	1	0.03860671529
958	1	0.03855834621
959	1	0.03849335464
960	1	0.03846365578
961	1	0.03838526766
962	1	0.03831566088
963	1	0.03826121651
964	1	0.03821604501
965	1	0.03816829158
966	1	0.03811811415
967	1	0.03810160567
968	1	0.03805082732
969	1	0.03799378279
970	1	0.03794167199
